Sensor ID,Max of Sensor,Average of Sensor,Number of Exceedances,Average Max Column,Max Value,99.9th Percentile of Sensor,Max of 99.9th Percentile,8 Hour Average of Sensor,8 Hour Max
673,1.626314,0.00917426678137175,363,4.265377124018264,22.22758,1.444419136000017,17.134117640000074,0.203289251303395,3.9236948675
674,1.319401,0.007475213191654361,363,4.265377124018264,22.22758,1.1332823924000173,17.134117640000074,0.16492512661088127,3.9236948675
675,1.036873,0.006064996921511013,363,4.265377124018264,22.22758,0.853889095200017,17.134117640000074,0.12960912709269623,3.9236948675
676,0.7932378999999999,0.005063025967605164,363,4.265377124018264,22.22758,0.6232085996000158,17.134117640000074,0.099154740289205,3.9236948675
677,0.5936776,0.004534631022756635,363,4.265377124018264,22.22758,0.507702744800008,17.134117640000074,0.07420970371152,3.9236948675
678,0.5408682,0.0044739875357822385,363,4.265377124018264,22.22758,0.5032064078000035,17.134117640000074,0.06760852500487843,3.9236948675
679,0.7930954000000001,0.004870119141658601,363,4.265377124018264,22.22758,0.6209869164000161,17.134117640000074,0.09913692500599469,3.9236948675
680,1.123399,0.005659132272868828,363,4.265377124018264,22.22758,0.8392312806000265,17.134117640000074,0.1404248750076423,3.9236948675
681,1.5257570000000003,0.006791221976431103,363,4.265377124018264,22.22758,1.09714527140004,17.134117640000074,0.19071962500971948,3.9236948675
682,1.970551,0.008274619964299647,363,4.265377124018264,22.22758,1.3762083952000552,17.134117640000074,0.24632852600249996,3.9236948675
683,2.4209160000000005,0.009954199843029197,363,4.265377124018264,22.22758,1.6982469654000676,17.134117640000074,0.3026447005512501,3.9236948675
684,2.835991,0.011829855225929602,363,4.265377124018264,22.22758,2.0239015942000753,17.134117640000074,0.35459641662499997,3.9236948675
685,3.206542,0.013871255438867264,363,4.265377124018264,22.22758,2.3276599742000816,17.134117640000074,0.4010421608125,3.9236948675
686,3.5455330000000003,0.0162151786262444,363,4.265377124018264,22.22758,2.6125652420000867,17.134117640000074,0.44360505799999994,3.9236948675
687,3.8778550000000003,0.018939061027694083,363,4.265377124018264,22.22758,2.887820114000092,17.134117640000074,0.4854379971250001,3.9236948675
688,4.190947,0.022089702039577816,363,4.265377124018264,22.22758,3.1359363720000983,17.134117640000074,0.524990120625,3.9236948675
689,4.4592540000000005,0.025481326036072293,363,4.265377124018264,22.22758,3.333720704000105,17.134117640000074,0.5591590284862502,3.9236948675
690,4.642032,0.028893199600943803,363,4.265377124018264,22.22758,3.4577797700001103,17.134117640000074,0.5828323544262499,3.9236948675
